Gemeinde name,Gem. lat,Gem. lng,PLZ
Wagna 8435 Gemeindeamt,46.7656386,15.55783550000001,8435
Ehrenhausen an der Weinstraße 8461 Gemeindeamt,46.7256299730623,15.58521255465837,8461
Gamlitz 8462 Gemeindeamt,46.7214185,15.557722900000046,8462
Gleinstätten 8443 Gemeindeamt,46.75489,15.368550000000026,8443
Heiligenkreuz am Waasen 8081 Gemeindeamt,46.95684000000001,15.584489999999962,8081
Leibnitz 8430 Gemeindeamt,46.78026709522785,15.53951832970779,8430
Sankt Georgen an der Stiefing 8413 Gemeindeamt,46.8777331,15.57664079999995,8413
Sankt Veit in der Südsteiermark 8423 Gemeindeamt,46.7481176,15.626215300000013,8423
Schwarzautal 8421 Gemeindeamt,46.83437321858757,15.640470583053114,8421
Straß in Steiermark 8472 Gemeindeamt,46.727686799999994,15.623605199999929,8472
Wildon 8410 Gemeindeamt,46.8857075,15.51853189999997,8410
Kalwang 8775 Gemeindeamt,47.425012,14.754340800000026,8775
Kammern im Liesingtal 8773 Gemeindeamt,47.3924789,14.904505100000053,8773
Kraubath an der Mur 8714 Gemeindeamt,47.305529,14.937063999999964,8714
Leoben 8700 Gemeindeamt,47.3807513,15.090651699999967,8700
Mautern in Steiermark 8774 Gemeindeamt,47.39755905414942,14.834229318105711,8774
Proleb 8712 Gemeindeamt,47.3983925,15.140057699999945,8712
Radmer 8795 Gemeindeamt,47.543163299999996,14.758864300000026,8795
Sankt Michael in Obersteiermark 8770 Gemeindeamt,47.336529,15.018174000000045,8770
Sankt Peter-Freienstein 8792 Gemeindeamt,47.3968447,15.03419120000001,8792
Sankt Stefan ob Leoben 8713 Gemeindeamt,47.3177059,14.976774999999973,8713
Traboch 8772 Gemeindeamt,47.37727779999999,14.98465299999998,8772
Wald am Schoberpaß 8781 Gemeindeamt,47.4484217,14.67556680000007,8781
Trofaiach 8793 Gemeindeamt,47.4260542,15.008246399999962,8793
Aigen im Ennstal 8943 Gemeindeamt,47.52034929999999,14.14345789999993,8943
Altaussee 8992 Gemeindeamt,47.6409118,13.765644800000016,8992
Ardning 8904 Gemeindeamt,47.5910538,14.363420499999961,8904
Bad Aussee 8990 Gemeindeamt,47.610751799999996,13.784651899999973,8990
Gröbming 8962 Gemeindeamt,47.4444782,13.901872499999966,8962
Haus 8967 Gemeindeamt,47.410855600000005,13.773016600000005,8967
Lassing 8903 Gemeindeamt,47.533799926923116,14.248037665316927,8903
Ramsau am Dachstein 8972 Gemeindeamt,47.422787400000004,13.653856000000019,8972
Selzthal 8900 Gemeindeamt,47.5497591,14.314639599999964,8900
Wildalpen 8924 Gemeindeamt,47.6628807,14.987104300000055,8924
Wörschach 8942 Gemeindeamt,47.5517727,14.144621199999962,8942
Admont 8911 Gemeindeamt,47.5759914,14.460825,8911
Aich 8966 Gemeindeamt,47.42265202674172,13.823670663930331,8966
Bad Mitterndorf 8983 Gemeindeamt,47.5552325,13.931169400000046,8983
Irdning-Donnersbachtal 8952 Gemeindeamt,47.50538599999999,14.102476900000054,8952
Landl 8931 Gemeindeamt,47.66714455215848,14.715639240625592,8931
Liezen 8940 Gemeindeamt,47.5677844,14.243068300000004,8940
Michaelerberg-Pruggern 8965 Gemeindeamt,47.4231446,13.875747300000056,8965
Mitterberg-Sankt Martin 8962 Gemeindeamt,47.4566656,13.938690400000038,8962
Öblarn 8960 Gemeindeamt,47.46048889999999,13.993266800000017,8960
Sankt Gallen 8933 Gemeindeamt,47.69295409999999,14.617209000000004,8933
Schladming 8970 Gemeindeamt,47.3927816,13.690466900000049,8970
Stainach-Pürgg 8950 Gemeindeamt,47.5338728,14.107421599999952,8950
Mühlen 8822 Gemeindeamt,47.02999370000001,14.508359499999983,8822
St. Peter am Kammersberg 8843 Gemeindeamt,47.18780049999999,14.16242299999999,8843
Schöder 8844 Gemeindeamt,47.1812896,14.112887399999973,8844
Krakau 8854 Gemeindeamt,47.18320263579426,13.962925751531884,8854
